Année;UAI;Libellé;Région;Niveau formation;Taux interruption formation;Taux poursuite études;Taux emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois
cumul 2020-2021;0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;BTS;30.0;43.0;67.0;67.0;48.0;62.0
cumul 2020-2021;0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;BAC PRO;37.0;63.0;48.0;59.0;54.0;55.0
cumul 2020-2021;0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;BAC PRO;65.0;42.0;30.0;45.0;40.0;46.0
cumul 2020-2021;0021869W;Lycée d'enseignement général et technologique privé Saint Joseph;HAUTS-DE-FRANCE;BTS;12.0;32.0;;;;
cumul 2020-2021;0021906L;Lycée professionnel privé Saint Charles - Lycée des métiers de la sécurité et de la maintenance;HAUTS-DE-FRANCE;MC5;;;;;;
cumul 2020-2021;0021939X;Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable;HAUTS-DE-FRANCE;BAC PRO;28.0;59.0;16.0;26.0;30.0;39.0
cumul 2020-2021;0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;CAP;25.0;63.0;38.0;47.0;57.0;55.0
cumul 2020-2021;0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;CAP;44.0;41.0;40.0;54.0;63.0;63.0
cumul 2020-2021;0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;27.0;59.0;40.0;62.0;57.0;49.0
cumul 2020-2021;0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;CAP;30.0;61.0;;;;
cumul 2020-2021;0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;BTS;23.0;21.0;59.0;82.0;59.0;64.0
cumul 2020-2021;0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;BTS;28.0;46.0;;;;
cumul 2020-2021;0060082G;Lycée professionnel Les Eucalyptus                 Lycée des sciences appliquées aux métiers de l'Industrie;PROVENCE-ALPES-COTE D'AZUR;CAP;;;;;;
cumul 2020-2021;0070003R;Lycée polyvalent Marcel Gimond;AUVERGNE-RHONE-ALPES;BAC PRO;31.0;74.0;21.0;50.0;38.0;62.0
