UAI;Nom_lycee;IPS_voie_pro
0711896A;A COMPLETER;83,6
0711896A;A COMPLETER;88,6
0711896A;A COMPLETER;82,3
0711896A;A COMPLETER;91,1
134003,00 F;A COMPLETER;82,1
134003,00 F;A COMPLETER;81,7
134003,00 F;A COMPLETER;77,6
134003,00 F;A COMPLETER;79,2
0134101M;A COMPLETER;71,4
0134101M;A COMPLETER;60
0134101M;A COMPLETER;58,1
0190783Y;A COMPLETER;66,9
0190783Y;A COMPLETER;68,7
0190783Y;A COMPLETER;66
0861408N;A COMPLETER;94,4
0861408N;A COMPLETER;95,5
0861408N;A COMPLETER;90,7
0861408N;A COMPLETER;92,4
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;93,3
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;97
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;94,9
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;97,9
0442083A;CENTRE EDUCATIF NANTAIS POUR SPORTIFS;89,6
0442083A;CENTRE EDUCATIF NANTAIS POUR SPORTIFS;98
0442083A;CENTRE EDUCATIF NANTAIS POUR SPORTIFS;87
0442083A;CENTRE EDUCATIF NANTAIS POUR SPORTIFS;90,7
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;85,6
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;73,6
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;86,1
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;83,9
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;114,5
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;115,2
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;115,1
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;118,1
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);89
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);86,1
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);88,2
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);89,3
0693134G;ECOLE PROFESSIONNELLE PRIVEE ATELIER D APPRENTISSAGE DE GORGE DE LOUP;66
0422052C;ECOLE PROFESSIONNELLE PRIVEE DE L ASSOCIATION FOREZIENNE D ECOLES DE PRODUCTION;66
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;83,9
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;86,1
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;85,6
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;73,6
0860774Z;ENSEMBLE SCOLAIRE SAINT JACQUES DE COMPOSTELLE;98,3
