UAI;Nom_lycée;;;;;
0771995A;LYCEE PROFESSIONNEL LE CHAMP DE CLAYE LYCEE DES METIERS DE L ENERGIE;;;;;
0772127U;LYCEE GENERAL ET TECHNOLOGIQUE GALILEE;;;;;
0772151V;LYCEE PROFESSIONNEL PRIVE LES SINOPLIES;;;;;
0772188K;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE MENDES FRANCE;;;;;
0772292Y;LYCEE POLYVALENT MARTIN LUTHER KING;;;;;
0772295B;LYCEE POLYVALENT LA TOUR DES DAMES;;;;;
0772342C;LYCEE POLYVALENT CLEMENT ADER;;;;;
0772602K;LYCEE PRIVE SAINTE CELINE;;;;;
0772685A;LYCEE GENERAL ET TECHNOLOGIQUE SAMUEL BECKETT;;;;;
0772688D;LYCEE POLYVALENT EMILIE DU CHATELET LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;;;;;
0772737G;LYCEE GENERAL INTERNAT D EXCELLENCE DE SOURDUN;;;;;
0780273Y;LYCEE PROFESSIONNEL LOUIS BLERIOT LYCEE DES METIERS DES SERVICES AUX ENTREPRISES AUX COLLECTIVITES ET AUX PERSONNES;;;;;
0780584L;LYCEE PROFESSIONNEL HENRI MATISSE LYCEE DES METIERS DE LA PETITE ENFANCE ET DES SOINS A LA PERSONNE ET DU COMMERCE;;;;;
0781512V;LYCEE GENERAL ET TECHNOLOGIQUE DESCARTES;;;;;
0781883Y;LYCEE POLYVALENT DUMONT D URVILLE;;;;;
0781951X;LYCEE POLYVALENT SEDAR SENGHOR;;;;;
0782132U;LYCEE GENERAL ET TECHNOLOGIQUE JEANNE D ALBRET;;;;;
0782587N;LYCEE POLYVALENT VIOLLET LE DUC LYCEE DES METIERS DE L HABITAT ET DU DEVELOPPEMENT DURABLE;;;;;
0782822U;LYCEE POLYVALENT PIERRE CORNEILLE LYCEE DES METIERS DE LA VENTE ET DES SERVICES AUX ENTREPRISES;;;;;
0783286Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT EREMBERT;;;;;
0783323N;LYCEE TECHNOLOGIQUE PRIVE SAINT THOMAS DE VILLENEUVE;;;;;
0783330W;LYCEE PROFESSIONNEL PRIVE ROULLEAU;;;;;
0783350T;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JEAN ET HULST;;;;;
0790024X;LYCEE GENERAL ET TECHNOLOGIQUE PAUL GUERIN;;;;;
0790031E;LYCEE POLYVALENT DU HAUT VAL DE SEVRE LYCEE DES METIERS DU HAUT VAL DE SEVRE;;;;;
0790036K;LYCEE GENERAL ET TECHNOLOGIQUE CITE SCOLAIRE JEAN MOULIN;;;;;
0800011C;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE EDOUARD GAND;;;;;
0800062H;LYCEE PROFESSIONNEL EDOUARD GAND LYCEE DES METIERS DES SERVICES A LA PERSONNE ET AUX ORGANISATIONS;;;;;
0800063J;LYCEE PROFESSIONNEL BOUCHER DE PERTHES LYCEE DES METIERS;;;;;
0801194N;LYCEE PROFESSIONNEL MONTAIGNE LYCEE DES METIERS DES MOBILITES ET DES ENERGIES NOUVELLES;;;;;
0801743K;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MONTALEMBERT;;;;;
0801882L;LYCEE POLYVALENT LA HOTOIE;;;;;
801900,00 F;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DE L AUTHIE;;;;;
0810012Y;LYCEE POLYVALENT JEAN JAURES;;;;;
0810075S;LYCEE GENERAL PRIVE SAINT JOSEPH DE L APPARITION;;;;;
0810079W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEANNE D ARC;;;;;
0810103X;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME;;;;;
0820551D;LYCEE PROFESSIONNEL PRIVE SAINT ROCH;;;;;
0820883P;LYCEE POLYVALENT CLAUDE NOUGARO;;;;;
0830007G;LYCEE POLYVALENT RAYNOUARD;;;;;
0830032J;LYCEE POLYVALENT DE LORGUES THOMAS EDISON;;;;;
0830059N;LYCEE PROFESSIONNEL PARC SAINT JEAN LYCEE DES METIERS DES SOINS ET SERVICES A LA PERSONNE ET DE LA SANTE;;;;;
0830114Y;LYCEE PROFESSIONNEL PRIVE SAINTE MARTHE;;;;;
0830128N;LYCEE PROFESSIONNEL PRIVE LA COLETTE;;;;;
0831243A;LYCEE GENERAL ET TECHNOLOGIQUE BONAPARTE;;;;;
0840001V;LYCEE POLYVALENT;;;;;
0840003X;LYCEE GENERAL FREDERIC MISTRAL;;;;;
0840026X;LYCEE GENERAL ET TECHNOLOGIQUE DE L ARC;;;;;
0840075A;LYCEE GENERAL PRIVE SAINT LOUIS;;;;;
0840078D;LYCEE GENERAL PRIVE MARIE PILA;;;;;
0840113S;LYCEE PROFESSIONNEL ALEXANDRE DUMAS;;;;;
0840918S;LYCEE POLYVALENT VAL DE DURANCE;;;;;
0850043K;LYCEE PROFESSIONNEL VALERE MATHE;;;;;
0850068M;LYCEE POLYVALENT FRANCOIS RABELAIS;;;;;
0850133H;LYCEE POLYVALENT PRIVE SAINTE MARIE DU PORT;;;;;
0851643Z;LYCEE PROFESSIONNEL PRIVE SAINT FRANCOIS D ASSISE;;;;;
0860003L;LYCEE GENERAL ET TECHNOLOGIQUE MARCELIN BERTHELOT;;;;;
860021,00 F;LYCEE GENERAL ET TECHNOLOGIQUE GUY CHAUVET;;;;;
0860789R;LYCEE POLYVALENT PRIVE ISAAC DE L ETOILE;;;;;
0861228T;LYCEE GENERAL ET TECHNOLOGIQUE DU BOIS D AMOUR;;;;;
0861408N;LYCEE POLYVALENT KYOTO;;;;;
0870017W;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE RENOIR;;;;;
0870056N;LYCEE POLYVALENT TURGOT;;;;;
0880019T;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS LAPICQUE;;;;;
0880023X;LYCEE PROFESSIONNEL ISABELLE VIVIANI;;;;;
0880055G;LYCEE GENERAL ET TECHNOLOGIQUE JULES FERRY;;;;;
0880064S;LYCEE PROFESSIONNEL EMILE GALLE LYCEE DES METIERS D ART ET DES SERVICES A LA PERSONNE;;;;;
0881140L;LYCEE PROFESSIONNEL CAMILLE CLAUDEL;;;;;
0881370L;LYCEE PROFESSIONNEL LOUIS GEISLER;;;;;
881664,00 F;LYCEE POLYVALENT JEAN BAPTISTE SIMEON LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;;;;;
0890032B;LYCEE POLYVALENT CHEVALIER D EON;;;;;
0890053Z;LYCEE PROFESSIONNEL PIERRE ET MARIE CURIE LYCEE DES METIERS;;;;;
0900019G;LYCEE PROFESSIONNEL JULES FERRY LYCEE DES METIERS DES SERVICES AUX COLLECTIVITES AUX ENTREPRISES ET A LA PERSONNE;;;;;
0910622G;LYCEE POLYVALENT GEOFFROY SAINT HILAIRE;;;;;
0910626L;LYCEE GENERAL ET TECHNOLOGIQUE BLAISE PASCAL;;;;;
0910628N;LYCEE PROFESSIONNEL PAUL BELMONDO;;;;;
0910631S;LYCEE PROFESSIONNEL JEAN MONNET LYCEE DES METIERS DES SERVICES AUX ENTREPRISES;;;;;
0910755B;LYCEE PROFESSIONNEL NADAR LYCEE DES METIERS DE LA SECURITE DE L INDUSTRIE ET DES SERVICES AUX ENTREPRISES;;;;;
0910975R;LYCEE POLYVALENT JEAN PIERRE TIMBAUD;;;;;
0911021R;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS JOSEPH TALMA;;;;;
0911037H;LYCEE PROFESSIONNEL ANDRE MARIE AMPERE;;;;;
