UAI;Nom_lycee;taux_de_reussite
134003,00 F;A COMPLETER;83
134003,00 F;A COMPLETER;86
134003,00 F;A COMPLETER;97
134003,00 F;A COMPLETER;81
0711896A;A COMPLETER;95
0711896A;A COMPLETER;86
0711896A;A COMPLETER;91
0134101M;A COMPLETER;63
0134101M;A COMPLETER;85
0134101M;A COMPLETER;74
0134101M;A COMPLETER;76
0861408N;A COMPLETER;95
0861408N;A COMPLETER;96
0861408N;A COMPLETER;93
0861408N;A COMPLETER;72
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;95
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;93
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;98
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;93
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;97
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);87
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);90
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);83
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);94
0860774Z;ENSEMBLE SCOLAIRE SAINT JACQUES DE COMPOSTELLE;94
0860774Z;ENSEMBLE SCOLAIRE SAINT JACQUES DE COMPOSTELLE;92
0442227G;INSTITUT DE FORMATION AUX METIERS PARAMEDICAUX;100
0442227G;INSTITUT DE FORMATION AUX METIERS PARAMEDICAUX;96
0442227G;INSTITUT DE FORMATION AUX METIERS PARAMEDICAUX;94
0391131T;INSTITUT EUROPEEN DE FORMATION COMPAGNONS DU TOUR DE FRANCE;100
0370040T;L P ALBERT BAYET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DE L AUTOMOBILE ET DE LA LOGISTIQUE ;81
0370040T;L P ALBERT BAYET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DE L AUTOMOBILE ET DE LA LOGISTIQUE ;85
0370040T;L P ALBERT BAYET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DE L AUTOMOBILE ET DE LA LOGISTIQUE ;88
0370040T;L P ALBERT BAYET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DE L AUTOMOBILE ET DE LA LOGISTIQUE ;86
0570085H;LGT LABELLISE LYCEE DES METIERS DU TERTIAIRE JEAN VICTOR PONCELET;77
0570085H;LGT LABELLISE LYCEE DES METIERS DU TERTIAIRE JEAN VICTOR PONCELET;94
0570085H;LGT LABELLISE LYCEE DES METIERS DU TERTIAIRE JEAN VICTOR PONCELET;93
0570085H;LGT LABELLISE LYCEE DES METIERS DU TERTIAIRE JEAN VICTOR PONCELET;88
0250014E;LP CONDE LYCEE DES METIERS DES SERVICES ET SOINS A LA PERSONNE ET DE L HOTELLERIE RESTAURATION;88
0250014E;LP CONDE LYCEE DES METIERS DES SERVICES ET SOINS A LA PERSONNE ET DE L HOTELLERIE RESTAURATION;92
0250014E;LP CONDE LYCEE DES METIERS DES SERVICES ET SOINS A LA PERSONNE ET DE L HOTELLERIE RESTAURATION;93
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;79
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;82
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;65
0942355Z;LP ENSEMBLE SAINTE MARIE;89
0942355Z;LP ENSEMBLE SAINTE MARIE;95
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;95
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;86
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;93
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;83
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;81
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;90
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;79
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;86
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;79
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;90
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;77
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;96
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;85
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;90
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;82
0142178S;LP JEAN MERMOZ;86
0142178S;LP JEAN MERMOZ;78
0142178S;LP JEAN MERMOZ;87
0142178S;LP JEAN MERMOZ;92
