UAI;Nom_lycee;taux_interruption_formation
0711896A;A COMPLETER;27
0190783Y;A COMPLETER;45
134003,00 F;A COMPLETER;47
134003,00 F;A COMPLETER;19
0134101M;A COMPLETER;54
0711896A;A COMPLETER;18
134003,00 F;A COMPLETER;23
0711896A;A COMPLETER;17
0134101M;A COMPLETER;65
0711896A;A COMPLETER;23
134003,00 F;A COMPLETER;17
0190783Y;A COMPLETER;14
0711896A;A COMPLETER;24
0190783Y;A COMPLETER;33
0190783Y;A COMPLETER;24
134003,00 F;A COMPLETER;34
0134101M;A COMPLETER;59
0711896A;A COMPLETER;16
0711896A;A COMPLETER;29
134003,00 F;A COMPLETER;33
0711896A;A COMPLETER;22
0711896A;A COMPLETER;28
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;24
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;17
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;27
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;15
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;20
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;14
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;19
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;22
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;23
0720822C;CAMPUS DES METIERS STE CATHERINE LYCEE DES METIERS HOTELLERIE RESTAURATION BOULANGERIE PATISSERIE CO;11
0350783L;COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN - SAINTE GENEVIEVE;16
0350783L;COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN / SAINTE GENEVIEVE;16
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;43
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;33
0312579K;ECOLE DE PRODUCTION PRIVE DYNAMECA;19
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;26
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;24
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;16
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;38
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;32
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;25
0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;19
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);43
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);35
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);52
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);46
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);50
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);47
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);67
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);39
0131434N;ECOLE LIBRE DE METIERS (LYCEE PROFESSIONNEL PRIVE);63
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;43
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;33
0312579K;ECOLE TECHNOLOGIQUE PRIVEE DYNAMECA;19
