UAI;Nom_lycee;taux_poursuite_etude
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;59
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;46
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;50
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;51
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;57
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;54
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;45
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;49
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;36
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;53
0010001W;LYCEE PROFESSIONNEL ALEXANDRE BERARD LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;48
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;27
0010006B;LYCEE POLYVALENT SAINT EXUPERY;27
0010006B;LYCEE POLYVALENT SAINT EXUPERY;52
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;52
0010006B;LYCEE POLYVALENT SAINT EXUPERY;55
0010006B;LYCEE POLYVALENT SAINT EXUPERY;48
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;48
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;55
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;36
0010006B;LYCEE POLYVALENT SAINT EXUPERY;36
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;12
0010006B;LYCEE POLYVALENT SAINT EXUPERY;12
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;46
0010006B;LYCEE POLYVALENT SAINT EXUPERY;46
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;41
0010006B;LYCEE POLYVALENT SAINT EXUPERY;41
0010006B;LYCEE POLYVALENT SAINT EXUPERY;51
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;51
0010006B;LYCEE POLYVALENT SAINT EXUPERY;50
