region;Nom_lycee;IPS_voie_pro
AUVERGNE-RHONE-ALPES;LPO GUILLAUME FICHET;77.3
AUVERGNE-RHONE-ALPES;LPO GUILLAUME FICHET;80.7
AUVERGNE-RHONE-ALPES;LPO GUILLAUME FICHET;80.9
AUVERGNE-RHONE-ALPES;LPO GUILLAUME FICHET;83.4
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS;83.4
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS;85.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;91.8
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;92.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;93.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;95
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE ET LOUIS LUMIERE;88.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE ET LOUIS LUMIERE;97.9
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE ET LOUIS LUMIERE;113.5
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE CHARLIE CHAPLIN;85.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE CHARLIE CHAPLIN;86.9
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE CHARLIE CHAPLIN;87.9
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE CHARLIE CHAPLIN;88.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE DE L EDIT;79
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE DE L EDIT;79.9
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE DE L EDIT;80.7
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE DE L EDIT;81.7
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE EMMANUEL MOUNIER;80.9
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE EMMANUEL MOUNIER;82.2
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GALILEE LYCEE DES METIERS DE LA CHIMIE;83.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GALILEE LYCEE DES METIERS DE LA CHIMIE;84.8
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GALILEE LYCEE DES METIERS DE LA CHIMIE;85
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GALILEE LYCEE DES METIERS DE LA CHIMIE;85.1
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES BRASSENS;86.7
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES BRASSENS;91
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES BRASSENS;91.1
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;90.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;90.7
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;92.2
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;93.7
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;75.5
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;76.7
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;76.9
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;80
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE JULIETTE RECAMIER;112.8
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS ARMAND;86.4
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS ARMAND;88.1
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS ARMAND;90.5
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS ARMAND;90.8
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE MONGE LYCEE DES METIERS DE LA CREATION INDUSTRIELLE;96.8
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE MONGE LYCEE DES METIERS DE LA CREATION INDUSTRIELLE;98.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE MONGE LYCEE DES METIERS DE LA CREATION INDUSTRIELLE;100.4
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE MONGE LYCEE DES METIERS DE LA CREATION INDUSTRIELLE;103.5
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PAUL HEROULT;88.1
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PAUL HEROULT;88.5
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PAUL HEROULT;90.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PAUL HEROULT;91.8
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ITEC BOISFLEURY EUROPE LYCEE DES METIERS DU MEDICO SOCIAL;102.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE PHILIPPINE DUCHESNE;102.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE PHILIPPINE DUCHESNE ITEC BOISFLEURY EUROPE;102.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ROBIN;101
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ROBIN;101.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;82.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;83.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;85.1
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;85.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;92.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;92.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;94.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;94.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;82.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;83.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;87.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;89.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT CAMUS (A ABSORBE L'UAI 0692518M EN 2020);83.4
